neworold,ownership,status,lift_avail,car_parking_avail,Gas_conn_avail,age,area,balconies,bathroom,bhk,floor,place,price,price_per_sq
1,3,3,0,0,0,0,4000,2,4,4 BHK Apartment ,8,Koregaon Park,40000000,10000
1,3,3,0,0,0,1,2560,2,4,4 BHK Apartment ,6,Baner,20000000,7812
1,3,3,0,0,0,0,2610,2,4,4 BHK Apartment ,5,Baner,26100000,10000
1,3,3,0,0,0,0,2550,2,4,4 BHK Apartment ,3,Balewadi,19700000,7725
1,3,3,0,0,0,0,2400,2,4,4 BHK Apartment ,5,Balewadi,20000000,8333
1,3,3,0,0,0,0,2197,2,3,3 BHK Apartment ,7,Aundh,21970000,10000
1,3,3,0,0,0,1,5100,2,4,4 BHK Apartment ,7,Aundh,50000000,9803
1,3,3,0,0,0,0,2200,2,3,3 BHK Apartment ,6,Aundh,22500000,10227
1,3,3,0,0,0,1,5400,2,4,4 BHK Apartment ,3,Boat Club Road,97400000,18037
1,3,3,0,0,0,0,2600,2,4,4 BHK Apartment ,6,Baner,26000000,10000
1,3,3,0,0,0,1,3506,2,4,4 BHK Apartment ,3,Balewadi,45000000,12835
1,3,3,0,0,0,0,3506,2,4,4 BHK Apartment ,6,Baner,45000000,12835
1,3,3,0,0,0,0,6862,2,5,5 BHK Apartment ,6,Koregaon Park,12000000,1748
1,3,3,0,0,0,0,2600,2,4,4 BHK Apartment ,8,Balewadi,27000000,10384
0,3,0,1,1,0,0,1035,1,2,2 BHK Apartment ,5,Undri,5500000,5314
0,3,0,1,1,0,3,925,1,2,2 BHK Apartment ,7,NIBM,5700000,6162
1,3,3,1,1,1,2,950,1,2,2 BHK Apartment ,7,Bavdhan,5300000,5578
